soal,label_asli,prediksi_svm,status
Select the best title for a passage,Comprehension,Evaluation,Salah
Distinguish between micro and macro economics.,Analysis,Analysis,Benar
Justify and nominate ways to prevent animal extinction.,Evaluation,Evaluation,Benar
which part of a data packet is used by a router to determine the destination network,Knowledge,Application,Salah
Defend your use of a specific strategy in solving the problem.,Evaluation,Evaluation,Benar
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge,Application,Salah
"""Classify the following substances as particle, atom, element, molecule, compound""",Comprehension,Comprehension,Benar
how do we devise a way to enforce the laws,Synthesis,Synthesis,Benar
Please label the diagram below:,Knowledge,Knowledge,Benar
How much is your weight,Knowledge,Knowledge,Benar
How does an endorsement differ from a teaching certificate,Analysis,Analysis,Benar
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application,Application,Benar
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension,Analysis,Salah
How does...compare/contrast with...?,Analysis,Analysis,Benar
Investigate whether or not the system can be solved for x; y; z,Analysis,Analysis,Benar
Inspect the pattern of GPS positions relative to the “known” published value,Analysis,Analysis,Benar
Define mercantilism.,Knowledge,Knowledge,Benar
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation,Evaluation,Benar
Calculate for x in the following equation: 12x=36,Application,Application,Benar
How many kilometers from your home to the university,Knowledge,Knowledge,Benar
Analyze the movements and sounds of a frog.,Analysis,Analysis,Benar
"""Illustrate this caption: """"Olympic as a Media Event in the Information Society""""""",Comprehension,Application,Salah
Can you write a new recipe for a tasty dish?,Synthesis,Synthesis,Benar
Recall locations of a historical events,Knowledge,Knowledge,Benar
Appraise data in support of a hypothesis.,Evaluation,Evaluation,Benar
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis,Analysis,Salah
Create and perform a play about frogs.,Synthesis,Synthesis,Benar
Calculate the deflection of a beam under uniform loading.,Application,Application,Benar
State in your own words the rule for balls and strikes in baseball.,Comprehension,Knowledge,Salah
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation,Evaluation,Benar
List the levels in Bloom's Taxonomy.,Knowledge,Knowledge,Benar
"""In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.""",Application,Application,Benar
Recite the the Gaussian law,Knowledge,Knowledge,Benar
Relate topographic map to field features,Application,Application,Benar
when did the first saudi radio station open,Knowledge,Knowledge,Benar
Draw a picture of the bears' house.,Application,Knowledge,Salah
Recite a policy of immigration in Europe .,Knowledge,Knowledge,Benar
"""Using information from the book about one of the main characters, rewrite the ending of the book.""",Synthesis,Synthesis,Benar
Judge the value of . . .?,Evaluation,Evaluation,Benar
Compare Calliope with Howie. Use the word bank.,Comprehension,Analysis,Salah
Use the rule for a semicolon in a sentence.,Application,Knowledge,Salah
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis,Analysis,Benar
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension,Comprehension,Benar
Predict what happens to X if Y increases.,Application,Evaluation,Salah
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis,Synthesis,Benar
Compare and contrast the waterfall model with the prototyping model.,Analysis,Analysis,Benar
Compare three celebrations using a Venn diagram.,Analysis,Analysis,Benar
How to inspect and maintain fresh water plumbing systems properly,Analysis,Analysis,Benar
If you had access to all resources how would you deal with . . .?,Synthesis,Evaluation,Salah
Judge aesthetic qualities and relationship to future values.,Evaluation,Evaluation,Benar
Compare historical events to contemporary situations,Comprehension,Analysis,Salah
Derive a kinetic model from experimental data.,Application,Application,Benar
"""In your own words, how would you summarize the story up """,Comprehension,Comprehension,Benar
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application,Application,Benar
"""Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  """,Evaluation,Application,Salah
Why don’t you devise your own way to deal with . . .?,Synthesis,Synthesis,Benar
State the formula for the area of a circle,Knowledge,Knowledge,Benar
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge,Application,Salah
Explain what a poem means.,Comprehension,Comprehension,Benar
"""How effectively did students analyze course content on race, class, and privilege through autobiographical reflection""",Analysis,Evaluation,Salah
Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation,Evaluation,Benar
""" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog""",Comprehension,Analysis,Salah
How much data can be stored in the cach memory,Knowledge,Knowledge,Benar
Create a new product. Give it a name and plan a marketing campaign.,Synthesis,Synthesis,Benar
Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluation,Analysis,Salah
Compare this book to the last book you read.,Analysis,Analysis,Benar
Which of the following item does not belong to the set ?,Knowledge,Knowledge,Benar
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension,Application,Salah
How would you feel if . . .?,Evaluation,Evaluation,Benar
"""Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.""",Evaluation,Evaluation,Benar
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation,Evaluation,Benar
Determine the author’s point of view,Comprehension,Evaluation,Salah
Outline the most important insight of the tale.,Comprehension,Comprehension,Benar
Can you create new and unusual uses for . . .?,Synthesis,Synthesis,Benar
